N,P,K,temperature,humidity,ph,rainfall,season,soil_type,crop
89.2,63.6,92.5,33.4,48.5,5.61,113.8,Zaid,Sandy,mango
120.8,32.6,50.1,22.1,84.1,5.3,306.2,Kharif,Loamy,tea
177.7,67.8,164.8,27.1,92.8,6.5,243.6,Kharif,Loamy,banana
100.6,46.1,67.1,24.6,69.3,6.72,41.5,Rabi,Loamy,onion
101.8,49.3,78.5,31.2,63.5,6.3,39.3,Zaid,Loamy,pomegranate
23.8,56.7,24.5,31.9,57.9,6.72,71.9,Kharif,Sandy,mungbean
42.5,27.6,54.9,12.4,69.1,6.14,100.5,Rabi,Loamy,apple
82.6,26.8,87.2,23.9,55.9,6.17,112.5,Zaid,Sandy,orange
56.0,37.9,27.8,33.3,46.3,6.61,32.4,Kharif,Sandy,pearl_millet
186.5,59.2,225.6,27.4,74.6,6.54,290.1,Kharif,Loamy,banana
120.2,64.9,75.3,31.4,62.0,6.24,81.0,Zaid,Sandy,guava
117.1,48.0,60.3,24.0,84.7,4.57,189.2,Kharif,Loamy,rubber
125.0,38.1,43.3,20.9,84.2,4.77,227.9,Kharif,Loamy,tea
97.9,31.9,39.8,14.9,58.1,7.64,36.6,Rabi,Sandy,mustard
62.7,39.0,34.5,28.9,40.7,6.31,85.8,Kharif,Loamy,sorghum
105.2,47.1,148.4,24.8,74.1,5.67,193.2,Kharif,Loamy,ginger
57.5,35.2,51.2,28.0,45.8,7.21,66.9,Rabi,Sandy,grapes
94.9,41.8,48.2,26.3,79.3,7.05,109.0,Kharif,Clayey,jute
92.5,52.0,74.8,30.3,36.5,6.22,16.2,Zaid,Sandy,pomegranate
94.2,53.7,53.0,29.7,73.0,6.3,53.8,Kharif,Sandy,sunflower
45.6,44.9,40.9,28.1,71.0,6.66,172.5,Rabi,Loamy,wheat
27.0,44.3,59.8,28.5,61.9,6.27,108.4,Kharif,Loamy,soybean
85.3,25.6,29.0,28.4,62.2,6.24,73.5,Kharif,Clayey,sorghum
24.6,74.9,45.6,27.2,56.1,6.37,52.4,Kharif,Clayey,soybean
54.6,37.1,72.4,14.7,44.1,6.12,116.4,Rabi,Sandy,apple
74.2,27.6,47.1,30.4,65.7,6.8,93.2,Kharif,Sandy,sorghum
117.0,60.5,51.7,25.5,79.6,6.4,187.9,Kharif,Loamy,rice
99.5,48.5,150.9,31.5,69.3,5.66,128.4,Kharif,Loamy,ginger
11.5,44.6,44.4,28.2,68.5,5.79,162.9,Kharif,Loamy,pigeonpeas
200.0,146.6,202.6,23.7,61.2,6.41,127.8,Zaid,Loamy,papaya
93.0,52.6,48.4,19.0,82.0,6.44,152.5,Rabi,Loamy,wheat
74.8,64.7,25.0,30.2,60.8,5.88,148.5,Kharif,Sandy,maize
101.3,50.7,47.5,28.2,54.3,5.76,104.1,Kharif,Sandy,maize
98.8,88.5,69.8,25.8,77.1,6.13,74.5,Kharif,Sandy,tomato
15.7,68.4,45.3,28.2,56.5,5.63,145.6,Kharif,Loamy,pigeonpeas
103.3,46.6,50.4,31.8,58.5,6.87,69.0,Kharif,Loamy,cotton
96.2,51.7,37.9,27.0,66.3,5.67,85.4,Kharif,Sandy,maize
82.3,56.0,41.1,21.5,77.9,7.32,123.4,Rabi,Sandy,wheat
122.6,71.7,104.2,20.3,60.8,5.52,80.8,Rabi,Sandy,potato
18.4,71.9,45.5,27.8,65.9,6.54,102.9,Kharif,Loamy,soybean
64.7,47.7,73.4,17.3,63.6,6.22,92.7,Rabi,Sandy,apple
74.4,28.9,31.3,20.8,67.4,5.89,104.2,Kharif,Loamy,finger_millet
73.2,43.9,60.1,22.0,73.7,5.44,65.6,Rabi,Loamy,garlic
116.0,50.4,37.3,25.2,75.6,6.34,97.4,Kharif,Sandy,maize
74.9,40.1,68.4,33.8,65.6,6.42,85.8,Zaid,Sandy,watermelon
77.7,34.9,40.6,30.8,66.1,6.18,74.8,Kharif,Loamy,sorghum
184.3,52.9,178.0,23.7,84.8,6.65,168.2,Kharif,Loamy,banana
68.0,41.6,43.6,16.7,75.5,6.55,180.5,Rabi,Sandy,wheat
102.5,70.3,114.5,21.2,82.1,6.2,64.4,Rabi,Sandy,potato
27.2,77.4,44.3,22.1,46.9,6.87,25.4,Rabi,Sandy,chickpea
10.3,54.8,54.4,31.1,68.9,6.16,125.7,Kharif,Sandy,pigeonpeas
79.8,46.6,80.0,21.9,84.7,5.4,58.7,Rabi,Sandy,onion
20.0,57.9,56.7,24.2,64.7,6.85,110.2,Kharif,Loamy,soybean
62.6,34.5,83.5,23.5,83.1,5.18,312.7,Kharif,Loamy,cardamom
114.6,54.2,122.8,27.6,77.4,7.17,205.5,Kharif,Loamy,sugarcane
10.0,63.2,56.8,29.1,64.6,6.25,168.4,Kharif,Sandy,pigeonpeas
21.7,55.1,48.6,22.5,63.1,7.36,48.9,Rabi,Sandy,chickpea
77.3,35.9,39.9,29.2,73.2,6.92,109.1,Kharif,Clayey,cotton
28.7,59.8,43.1,23.8,59.7,6.55,42.5,Rabi,Loamy,chickpea
49.1,42.2,34.7,23.2,69.8,6.21,77.4,Kharif,Sandy,finger_millet
69.0,40.3,36.1,29.0,81.1,6.85,115.4,Kharif,Clayey,jute
84.6,36.2,54.1,28.2,82.2,5.0,271.2,Kharif,Loamy,rubber
117.5,46.8,122.8,27.3,79.8,6.53,154.7,Kharif,Clayey,sugarcane
65.4,37.1,62.4,28.1,86.5,5.33,359.1,Kharif,Loamy,rubber
106.9,60.2,86.3,33.0,73.7,6.17,126.3,Zaid,Sandy,guava
56.3,29.2,53.2,28.5,46.2,6.39,69.3,Rabi,Sandy,grapes
35.4,22.5,28.0,33.4,61.6,6.04,79.5,Kharif,Loamy,sesame
127.9,67.1,107.4,28.3,82.9,6.53,158.7,Kharif,Sandy,turmeric
39.4,36.6,32.9,18.2,77.5,5.56,53.5,Rabi,Clayey,linseed
120.2,67.9,137.1,16.3,77.0,6.25,87.6,Rabi,Sandy,potato
41.4,26.8,39.2,29.2,39.7,6.48,62.2,Kharif,Sandy,sesame
65.9,24.0,19.3,35.1,40.4,7.64,4.0,Kharif,Sandy,pearl_millet
91.7,80.8,84.7,19.5,74.2,6.6,68.5,Kharif,Loamy,tomato
32.3,63.1,52.2,26.2,75.3,6.36,65.4,Kharif,Clayey,soybean
101.7,88.8,76.6,25.2,56.5,6.33,69.2,Kharif,Sandy,tomato
37.0,17.4,22.0,11.8,63.4,5.93,35.2,Rabi,Clayey,linseed
95.6,48.4,106.9,29.0,90.3,5.82,229.3,Kharif,Loamy,pepper
20.9,54.5,49.9,29.7,76.9,6.58,110.8,Kharif,Clayey,soybean
78.1,55.0,27.4,22.3,79.1,6.04,148.7,Kharif,Clayey,rice
89.4,68.1,45.1,22.0,75.9,6.78,181.6,Rabi,Sandy,wheat
22.6,46.9,23.6,32.0,41.9,8.02,61.9,Kharif,Sandy,mothbeans
106.4,60.6,89.3,29.9,68.5,6.83,73.3,Zaid,Loamy,guava
15.6,55.1,89.6,34.5,64.7,7.05,92.8,Kharif,Loamy,groundnut
77.0,70.6,120.3,25.1,86.9,5.17,328.1,Kharif,Loamy,pepper
184.7,59.6,179.8,21.4,83.2,6.52,173.4,Kharif,Loamy,banana
121.7,35.2,43.4,30.1,66.5,6.83,68.8,Kharif,Sandy,cotton
19.1,57.7,74.0,21.8,63.0,6.92,85.2,Kharif,Loamy,groundnut
74.6,30.6,50.1,27.6,56.7,6.93,87.5,Kharif,Clayey,sorghum
82.3,64.8,57.6,16.0,85.6,6.65,160.9,Rabi,Loamy,wheat
111.7,65.1,76.9,34.4,51.6,6.75,106.2,Zaid,Loamy,mango
92.2,48.5,100.3,28.5,55.4,6.71,89.6,Rabi,Loamy,tobacco
85.4,40.9,61.4,28.6,50.8,5.48,97.3,Kharif,Loamy,sorghum
17.3,55.7,41.3,30.8,36.6,6.99,61.5,Rabi,Loamy,chickpea
21.3,46.1,36.8,22.2,38.3,7.91,53.6,Rabi,Loamy,chickpea
128.3,61.3,85.7,28.1,39.0,5.68,41.0,Zaid,Loamy,pomegranate
200.0,177.1,219.3,27.2,63.0,5.69,163.6,Zaid,Loamy,papaya
19.2,51.5,85.2,28.5,54.9,6.19,81.7,Kharif,Loamy,groundnut
38.4,62.7,77.6,26.5,54.7,7.18,90.9,Kharif,Sandy,groundnut
94.2,76.1,124.7,20.5,78.4,5.79,64.9,Rabi,Sandy,potato
200.0,200.0,182.5,29.0,64.5,6.15,137.6,Zaid,Sandy,papaya
93.5,47.1,58.4,26.6,81.3,7.33,335.1,Kharif,Loamy,rice
83.4,48.9,51.3,25.1,88.9,5.79,202.2,Kharif,Clayey,rice
27.1,46.2,28.8,26.6,53.0,6.66,80.9,Kharif,Sandy,mungbean
24.6,51.0,24.7,30.4,55.6,6.9,50.6,Kharif,Loamy,mungbean
61.1,19.0,40.4,32.6,52.4,7.0,22.1,Kharif,Sandy,pearl_millet
138.9,53.9,62.5,32.9,30.5,6.51,51.2,Zaid,Loamy,pomegranate
108.8,53.1,82.5,32.8,57.4,6.1,42.0,Rabi,Sandy,onion
15.0,62.1,45.6,27.8,64.5,7.41,109.8,Kharif,Loamy,soybean
56.6,36.5,71.7,19.9,62.2,6.69,45.5,Rabi,Loamy,garlic
58.5,39.2,65.7,23.6,71.4,6.12,88.6,Zaid,Sandy,orange
81.3,51.4,94.0,24.0,81.5,4.72,211.5,Kharif,Loamy,coffee
39.1,20.7,27.7,29.8,52.4,5.52,72.9,Kharif,Loamy,sesame
120.4,56.3,83.1,23.3,67.2,6.78,88.2,Zaid,Sandy,guava
76.9,44.6,49.0,31.7,83.0,6.76,56.6,Zaid,Sandy,watermelon
25.9,45.3,60.5,15.9,75.2,6.54,28.5,Rabi,Loamy,peas
108.6,57.8,145.9,24.2,69.2,5.52,167.2,Kharif,Sandy,turmeric
48.0,31.3,65.1,22.7,68.9,6.4,76.1,Rabi,Sandy,grapes
83.4,36.4,47.2,30.3,77.6,6.85,249.1,Kharif,Clayey,rice
83.8,45.7,50.3,28.7,66.0,5.98,55.6,Zaid,Sandy,watermelon
57.9,27.8,39.3,17.5,59.4,7.2,86.2,Rabi,Loamy,barley
116.9,49.7,54.4,31.4,53.3,7.37,67.8,Kharif,Clayey,cotton
27.3,64.7,92.8,25.7,52.4,7.16,92.6,Kharif,Loamy,groundnut
88.5,65.6,92.9,22.3,81.8,6.41,163.7,Kharif,Loamy,coffee
75.8,58.9,46.5,17.7,92.5,7.19,150.8,Rabi,Loamy,wheat
88.6,30.1,38.9,14.4,71.9,7.63,39.1,Rabi,Loamy,mustard
53.7,45.1,52.5,21.4,60.4,5.44,33.3,Rabi,Loamy,garlic
119.4,77.5,104.3,21.5,67.7,5.48,72.9,Rabi,Sandy,potato
73.5,35.0,42.5,30.6,64.5,5.99,49.9,Kharif,Loamy,castor
20.8,61.1,49.6,23.1,45.7,6.79,21.1,Rabi,Loamy,chickpea
70.5,23.9,72.4,23.5,79.4,5.17,340.6,Kharif,Loamy,cardamom
33.4,23.1,21.4,17.5,48.4,6.27,48.8,Rabi,Clayey,linseed
24.9,59.0,54.4,25.6,58.8,6.46,143.7,Kharif,Loamy,soybean
37.8,58.1,50.5,27.3,78.0,6.45,234.8,Kharif,Clayey,rice
125.2,59.5,136.6,27.4,76.6,5.99,90.7,Kharif,Sandy,turmeric
112.6,66.3,147.8,28.0,77.5,6.63,260.8,Kharif,Clayey,sugarcane
97.5,53.6,128.1,23.2,91.5,5.88,147.3,Kharif,Loamy,ginger
111.2,50.8,127.0,32.7,78.4,6.62,92.4,Kharif,Clayey,sugarcane
90.4,41.5,86.6,24.0,78.8,6.29,89.9,Zaid,Loamy,orange
83.4,46.3,102.4,30.1,71.8,6.09,26.5,Rabi,Sandy,tobacco
20.8,47.6,42.0,28.3,64.5,6.12,68.4,Kharif,Loamy,cowpea
89.7,56.2,38.2,14.9,57.6,7.4,39.2,Rabi,Loamy,mustard
26.4,50.0,21.4,29.0,60.9,6.43,57.0,Kharif,Loamy,mungbean
17.4,11.7,24.6,22.8,53.7,6.77,21.9,Rabi,Loamy,lentil
82.6,48.7,48.7,16.3,63.4,6.36,61.6,Rabi,Sandy,mustard
110.7,66.2,84.8,30.1,52.9,6.11,58.5,Zaid,Sandy,guava
67.9,35.0,75.5,23.5,50.5,6.05,111.9,Zaid,Loamy,orange
75.0,47.9,42.5,26.0,62.0,5.71,38.7,Kharif,Sandy,maize
66.2,34.4,41.4,32.0,61.3,6.94,59.7,Kharif,Sandy,sorghum
117.1,41.1,52.9,25.2,76.8,4.72,353.9,Kharif,Loamy,rubber
33.3,38.7,31.6,28.5,61.1,7.31,109.2,Kharif,Loamy,finger_millet
45.0,17.6,26.2,30.0,47.1,6.92,32.0,Kharif,Sandy,sesame
47.9,29.5,35.0,27.4,56.4,6.63,58.3,Kharif,Clayey,sorghum
100.4,35.5,56.9,25.0,85.3,5.48,316.7,Kharif,Loamy,rubber
83.2,32.6,35.7,31.3,30.2,5.9,99.9,Kharif,Sandy,sorghum
23.2,61.7,85.5,30.9,57.7,6.74,63.3,Kharif,Sandy,groundnut
48.5,16.2,23.2,27.4,53.9,6.02,64.5,Kharif,Loamy,sesame
96.2,50.8,34.1,29.9,53.8,6.34,112.0,Kharif,Loamy,maize
86.5,45.1,44.1,28.0,86.2,5.86,297.5,Kharif,Clayey,rice
73.5,34.3,53.1,33.7,66.7,6.92,60.4,Zaid,Sandy,watermelon
77.4,46.6,86.5,27.0,65.2,6.68,73.5,Rabi,Sandy,onion
80.7,42.5,59.3,33.4,66.8,6.61,40.1,Zaid,Sandy,watermelon
30.4,59.1,68.0,31.2,61.3,6.7,82.0,Kharif,Sandy,groundnut
42.1,40.2,28.0,24.8,68.5,6.22,112.5,Kharif,Loamy,finger_millet
91.1,58.0,51.6,25.4,79.9,6.33,253.0,Kharif,Loamy,rice
26.1,69.2,50.5,28.0,57.9,7.43,86.0,Kharif,Loamy,soybean
17.9,38.2,17.0,28.0,60.1,5.67,58.1,Kharif,Loamy,mungbean
23.1,67.1,64.6,15.7,65.4,6.77,79.5,Rabi,Sandy,peas
90.4,61.6,37.2,23.8,83.4,6.04,100.8,Kharif,Sandy,maize
82.8,50.3,73.4,17.7,66.4,6.37,57.9,Rabi,Loamy,onion
54.9,27.8,24.2,41.8,53.4,7.02,43.1,Kharif,Sandy,pearl_millet
14.3,17.7,17.6,23.9,53.2,6.79,19.1,Rabi,Loamy,lentil
52.9,28.8,58.1,30.9,51.8,6.19,74.5,Rabi,Sandy,grapes
23.5,69.1,15.5,28.8,51.2,7.0,20.5,Kharif,Sandy,mothbeans
25.8,44.4,55.7,14.6,72.0,6.04,70.1,Rabi,Sandy,peas
91.8,62.7,74.4,26.3,65.8,6.21,73.0,Zaid,Loamy,guava
25.3,51.3,18.1,33.5,56.3,6.5,69.1,Kharif,Loamy,mungbean
71.8,53.3,59.2,15.4,80.2,7.15,126.4,Rabi,Loamy,apple
91.8,59.2,47.7,30.4,72.6,6.6,75.7,Kharif,Sandy,maize
120.2,47.6,71.3,25.5,52.6,7.09,24.0,Zaid,Sandy,pomegranate
105.7,72.3,88.8,26.4,65.0,6.59,67.6,Kharif,Loamy,tomato
22.8,60.4,24.9,31.5,66.7,6.79,56.8,Kharif,Loamy,mungbean
95.7,59.8,54.9,23.0,81.7,7.21,183.9,Rabi,Loamy,wheat
96.6,32.0,182.0,29.8,75.0,6.2,221.9,Kharif,Sandy,coconut
46.0,39.2,67.9,29.6,36.8,7.04,62.0,Rabi,Sandy,grapes
65.9,20.8,23.9,17.7,47.7,6.58,72.3,Rabi,Loamy,barley
84.0,56.4,62.7,28.1,57.9,7.14,77.3,Kharif,Loamy,sunflower
28.1,50.7,26.4,30.8,53.6,6.83,66.3,Kharif,Sandy,mungbean
93.7,41.2,210.7,29.0,81.0,6.94,203.6,Kharif,Sandy,coconut
65.7,39.0,74.2,15.0,51.3,6.13,98.0,Rabi,Sandy,apple
119.7,54.3,100.4,26.9,77.8,6.71,192.5,Kharif,Clayey,sugarcane
16.9,42.0,26.1,28.7,70.4,7.25,57.2,Kharif,Loamy,blackgram
115.6,46.6,122.8,26.3,79.1,7.41,192.0,Kharif,Loamy,sugarcane
21.0,56.3,15.9,31.6,51.0,7.01,28.5,Kharif,Sandy,mothbeans
20.2,74.1,41.1,30.7,63.9,7.33,104.3,Kharif,Clayey,soybean
144.3,58.8,198.1,32.5,81.5,6.15,211.9,Kharif,Loamy,banana
103.3,60.0,128.2,17.9,68.8,6.01,73.2,Rabi,Sandy,potato
104.7,40.4,216.8,24.5,73.7,6.21,237.6,Kharif,Sandy,coconut
126.8,58.6,128.2,31.6,80.7,6.35,151.7,Kharif,Loamy,turmeric
44.8,40.6,81.8,20.3,86.0,5.05,348.8,Kharif,Loamy,cardamom
35.6,30.3,30.0,12.1,50.2,6.32,78.7,Rabi,Sandy,barley
80.1,52.5,73.3,26.7,71.4,7.25,62.6,Rabi,Loamy,onion
179.1,200.0,161.3,33.5,68.9,6.44,114.1,Zaid,Loamy,papaya
9.6,50.5,37.1,27.1,59.1,6.47,118.6,Kharif,Loamy,pigeonpeas
105.8,48.8,44.0,25.1,61.5,7.74,58.7,Kharif,Loamy,cotton
22.4,46.2,80.3,25.6,59.2,5.0,111.6,Kharif,Sandy,groundnut
54.4,39.1,114.9,27.5,58.7,5.69,70.8,Rabi,Loamy,tobacco
67.0,30.8,47.4,28.2,79.1,6.83,129.3,Kharif,Clayey,jute
29.7,43.7,40.3,24.6,68.5,6.59,88.4,Kharif,Loamy,cowpea
138.9,68.9,129.3,16.1,73.1,6.93,102.2,Rabi,Sandy,potato
107.8,39.4,50.4,30.7,66.6,7.34,85.0,Kharif,Clayey,cotton
55.1,38.5,35.0,20.4,86.0,6.91,118.1,Rabi,Sandy,wheat
52.1,29.7,24.3,34.6,44.5,7.35,25.8,Kharif,Sandy,pearl_millet
25.6,76.5,67.5,19.9,69.1,5.76,121.5,Kharif,Loamy,kidneybeans
127.6,85.7,103.3,13.4,85.3,5.83,57.0,Rabi,Loamy,potato
18.1,56.1,24.7,30.8,41.6,5.62,46.7,Kharif,Sandy,mothbeans
61.1,38.7,68.4,14.0,56.3,6.25,148.9,Rabi,Sandy,apple
118.8,80.9,145.5,19.4,78.5,6.39,54.3,Rabi,Loamy,potato
70.1,24.6,39.5,26.7,83.5,7.56,99.1,Rabi,Loamy,wheat
22.9,44.9,49.7,18.5,76.0,6.95,45.1,Rabi,Loamy,peas
42.9,24.2,34.1,30.4,62.4,6.96,52.0,Kharif,Loamy,sesame
122.9,33.2,41.3,22.3,85.9,6.56,214.5,Rabi,Sandy,wheat
8.1,12.6,17.1,23.2,61.2,6.32,27.3,Rabi,Loamy,lentil
54.7,47.3,63.9,11.5,57.4,6.24,85.9,Rabi,Sandy,apple
72.5,35.7,34.0,32.9,82.2,6.48,119.9,Kharif,Loamy,jute
134.0,43.2,140.1,26.5,76.2,6.35,147.1,Kharif,Loamy,turmeric
59.6,34.8,66.9,9.1,66.0,7.17,47.0,Rabi,Loamy,garlic
62.7,27.9,44.2,10.7,52.6,6.18,88.1,Rabi,Loamy,mustard
156.0,33.0,49.7,20.9,81.4,5.6,303.0,Kharif,Loamy,tea
20.3,49.5,42.0,25.4,69.9,5.74,132.0,Kharif,Sandy,pigeonpeas
37.9,16.4,14.1,31.5,40.3,6.49,19.8,Kharif,Sandy,sesame
129.6,50.2,82.9,26.8,51.0,6.02,106.8,Zaid,Sandy,mango
33.2,49.5,44.5,15.8,71.1,6.79,67.7,Rabi,Sandy,peas
84.4,33.9,98.7,31.6,61.4,6.64,88.0,Rabi,Loamy,tobacco
114.3,68.3,68.3,21.5,77.2,6.48,228.2,Kharif,Loamy,coffee
56.6,46.4,40.8,26.3,55.6,6.77,53.5,Kharif,Clayey,sorghum
76.7,42.4,39.5,29.4,85.2,6.49,136.4,Kharif,Clayey,jute
15.3,53.8,34.4,24.7,49.1,6.64,42.9,Rabi,Loamy,chickpea
104.8,93.8,81.6,21.5,81.7,7.29,69.2,Kharif,Loamy,tomato
91.7,71.0,63.2,28.0,57.8,6.93,111.3,Zaid,Loamy,mango
76.3,43.7,73.3,27.1,65.7,6.92,110.5,Zaid,Loamy,orange
27.7,56.7,49.2,13.3,65.6,7.11,73.3,Rabi,Loamy,peas
71.5,49.2,49.9,31.2,80.1,5.9,109.5,Kharif,Loamy,maize
61.7,51.9,24.5,31.6,50.4,7.06,99.0,Kharif,Sandy,sorghum
23.6,57.0,24.0,26.9,60.9,7.78,45.8,Kharif,Sandy,mothbeans
73.0,41.1,41.4,26.6,85.3,6.99,107.6,Kharif,Loamy,jute
119.4,88.9,114.7,17.9,79.5,5.86,89.8,Rabi,Sandy,potato
93.8,51.4,45.3,17.9,58.5,6.28,41.2,Rabi,Loamy,mustard
70.9,23.2,75.7,18.5,82.7,5.23,402.8,Kharif,Loamy,cardamom
96.5,30.3,40.4,16.7,55.4,7.58,60.0,Rabi,Loamy,mustard
78.2,75.2,102.3,27.6,81.4,5.17,296.6,Kharif,Loamy,pepper
58.9,39.9,33.5,30.6,55.3,5.86,33.1,Kharif,Sandy,castor
80.1,39.0,77.9,28.2,57.9,6.83,129.4,Zaid,Loamy,orange
122.7,58.5,114.9,27.4,81.0,6.66,168.8,Kharif,Clayey,sugarcane
179.3,61.5,169.3,22.6,73.8,6.51,178.9,Kharif,Loamy,banana
26.4,50.4,87.2,27.9,56.5,6.09,83.3,Kharif,Loamy,groundnut
124.7,46.8,54.8,26.9,77.1,6.56,317.2,Kharif,Clayey,rice
101.0,32.9,49.3,25.1,74.4,6.5,179.9,Kharif,Loamy,rice
27.2,78.7,52.6,30.0,77.3,6.61,80.6,Kharif,Loamy,soybean
200.0,200.0,214.3,31.1,66.9,6.61,142.3,Zaid,Loamy,papaya
162.6,58.3,221.2,25.5,70.0,6.96,198.3,Kharif,Loamy,banana
166.7,200.0,230.9,28.1,69.8,5.67,72.3,Zaid,Sandy,papaya
93.1,61.0,39.5,29.6,69.2,6.98,79.9,Kharif,Clayey,cotton
112.9,63.0,63.0,23.1,70.2,6.35,60.1,Kharif,Loamy,sunflower
200.0,169.7,192.7,27.3,65.1,7.02,93.9,Zaid,Sandy,papaya
118.4,54.5,100.1,28.0,83.3,4.72,271.0,Kharif,Loamy,pepper
21.6,45.6,45.8,24.9,76.6,5.78,94.6,Kharif,Sandy,cowpea
89.0,45.0,60.7,33.0,70.7,6.51,40.4,Zaid,Sandy,watermelon
78.8,43.3,32.8,31.7,82.0,7.16,164.8,Kharif,Loamy,jute
